MARCA;MODELO;ANO
Peugeot;206 Feline 1.4/ 1.4 Flex 8V 5p;ERRO
Peugeot;206 SW Moonlight 1.4 Flex 8V 5p;ERRO
Renault;Clio Sedan Egeus Hi-Flex 1.0 16V 4p;ERRO
Peugeot;308 Bus. Pro 1.6 TB Flex 5p Aut.(PCD);ERRO
Peugeot;405 GRi 1.8;ERRO
Peugeot;405 Mi 2.0 16V;ERRO
Peugeot;407 SW 2.0 16V 5p Aut.;ERRO
Peugeot;408 Sed. Bus. Pro 1.6 TB Flex Aut.(PCD);ERRO
Peugeot;504 GD 2.3 Diesel;ERRO
Peugeot;504 GRD 2.3 Diesel;ERRO
Peugeot;605 SV-3 3.0 V6 24V;ERRO
Saab;9000 CD 2.3 Turbo;ERRO
Porsche;911 Carrera 4S Cabriolet 3.0 (991/992);ERRO
Porsche;968 Coupe 3.0 16V;ERRO
Porsche;Cayenne Coupe 3.0 TurboV6 340cv;ERRO
Porsche;Cayenne E-Hybrid 3.0 V6 462cv;ERRO
Porsche;Cayenne Turbo 4.0 V8 550cv;ERRO
Porsche;Cayman 2.7/ 2.9;ERRO
Porsche;Cayman GTS 3.4 340cv;ERRO
Porsche;Cayman S 3.4;ERRO
Porsche;Panamera 3.6 V6 300cv/310cv;ERRO
Porsche;Panamera GT-S 4.8;ERRO
Porsche;Panamera S 3.0 Bi-Turbo 420cv;ERRO
Porsche;Panamera Turbo Sport Turismo 4.0;ERRO
SSANGYONG;ACTYON 2.0 16V 141cv Diesel;ERRO
Subaru;Forester 2.0 4x4 Mec.;ERRO
Subaru;Forester 2.0 4x4 Turbo;ERRO
Subaru;Forester 2.0 L 16V 4x4 Aut.;ERRO
Subaru;Forester XT 2.5 16V 4x4 Turbo Aut.;ERRO
Toyota;Avalon XLS 3.0;ERRO
Toyota;ETIOS PLATINUM Sed. 1.5 Flex 16V 4p Aut.;ERRO
Toyota;Hilux CD SRV 4x2 2.7 16V 142cv;ERRO
Toyota;Hilux CD SRV 4x4 2.7 Flex 16V Aut.;ERRO
Toyota;Hilux CD SRV 4x4 3.0 8V 116cv TB Diesel;ERRO
Toyota;Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut;ERRO
Peugeot;Boxer Business Furgão 2.0 Turbo Diesel;ERRO
Plymouth;Sundance 2.5;ERRO
Porsche;Taycan Turbo (Elétrico);ERRO
Porsche;911 Carrera GTS Cabriolet 3.8 24V (991);ERRO
Toyota;Hilux CS 4x4 2.4 Diesel;ERRO
Toyota;Hilux CS DLX 4x2 2.8 Diesel;ERRO
Toyota;Hilux SW4 SR 4x2 2.7/ 2.7 Flex 16V Aut.;ERRO
Toyota;Hilux SW4 SR D4-D 4x4 3.0 TDI Dies. Aut;ERRO
Renault;LOGAN Exclusive Hi-Flex 1.6 8V 4p;ERRO
Renault;Safrane RXE;ERRO
Renault;SANDERO Authentique Hi-Power 1.0 16V 5p;ERRO
Renault;SANDERO GT line Hi-Flex 1.6 8V 5p;ERRO
Renault;SANDERO SPORT RS 2.0 Flex 16V 5p;ERRO
Porsche;Cayenne Platinum Ed. 3.6;ERRO
Porsche;Cayenne S E-Hybrid 3.0 V6 416cv;ERRO
Porsche;Cayenne S Platinum Ed.E-Hybrid 3.0;ERRO
Porsche;MACAN Turbo Performnce 3.6 Bi-TB V6;ERRO
Porsche;Panamera 4S Sport Turismo 2.9 440cv;ERRO
Porsche;Panamera Edition 3.6 v6 310cv;ERRO
Porsche;Panamera Turbo Executive 4.0 550cv;ERRO
Porsche;911 Carrera S 50th Coupe 3.8 24V(991);ERRO
Porsche;911 Carrera S 50th Coupe 3.8 24V(991);2014 Gasolina
Porsche;911 Targa 4 GTS 3.0  450cv;ERRO
Porsche;911 Targa 4 GTS 3.0  450cv;2019 Gasolina
Porsche;Boxster Spyder 3.4 320cv;ERRO
Porsche;Boxster Spyder 3.4 320cv;2011 Gasolina
Porsche;Boxster Spyder 3.8 375cv;ERRO
Porsche;Boxster Spyder 3.8 375cv;2016 Gasolina
Porsche;Cayman GT4 3.8 385cv;ERRO
Porsche;Cayman R 3.4 330cv;ERRO
Porsche;Macan GTS 3.0 Bi-Turbo 360cv;ERRO
Porsche;Panamera 4S 2.9 440cv;ERRO
Porsche;Panamera 4S Executive 2.9 440cv;ERRO
Porsche;Taycan 4S (Elétrico);ERRO
Subaru;Forester XT S-EDITION 2.5 16V 4x4 TB Aut;ERRO
Renault;SANDERO STEP. R. CURL Hi-Power 1.6 8V 5p;ERRO
Renault;SANDERO STEPWAY Easy R Flex 1.6 16V 5p;ERRO
Renault;SANDERO STEPWAY Hi-F. R. CURL 1.6 16V 5p;ERRO
Renault;SANDERO STEPWAY Hi-Power 1.6 8V 5p;ERRO
Renault;SANDERO STEPWAY Tweed HFlex 1.6 16V Aut;ERRO
Renault;SANDERO STEPWAY Tweed HFlex 1.6 8V 5p;ERRO
Renault;SANDERO TechRun Hi-Flex 1.0 16V 5p;ERRO
Renault;SANDERO Zen Flex 1.6 16V 5p Mec.;ERRO
Renault;Scénic Alizé/ Expression 2.0 16V 5p;ERRO
Renault;Scénic Expression 1.6 16V Aut.;ERRO
Renault;Scénic Grand Dynamique 2.0 16V 5p Aut.;ERRO
Renault;Scénic Privilège Hi-Flex 1.6 16V;ERRO
Renault;Scénic Privillège 2.0 Plus 16V 5p Aut;ERRO
Renault;Scénic RT 2.0 16V 5p Aut.;ERRO
Renault;Scénic RT/Auth/Auth/Kids Hi-Flex 1.6 16V;ERRO
Renault;Scénic RXE 2.0 8V;ERRO
Renault;Scénic RXE/ Privilège 1.6 16V Mec.;ERRO
Renault;Scénic RXE/ Privilège 2.0 16V 5p Aut.;ERRO
Renault;Scénic SPORTWAY Hi-Flex 1.6 16V 5p;ERRO
Renault;STEPWAY Iconic Flex 1.6 16V Aut.;ERRO
Renault;STEPWAY Intense Flex 1.6 16V  Aut.;ERRO
Renault;STEPWAY Zen Flex 1.6 16V Mec.;ERRO
Renault;SYMBOL Expression Hi-Flex 1.6 16V 4p;ERRO
Renault;SYMBOL Expression Hi-Flex 1.6 8V 4p;ERRO
Renault;SYMBOL Privilège Hi-Flex 1.6 16V 4p;ERRO
Renault;Trafic Furgão 2.0 98cv;ERRO
Renault;Twingo Easy 1.2;ERRO
Renault;Twingo Initiale 1.0 16V 70cv;ERRO
Renault;Twingo Pack 1.0 16V 70cv;ERRO
Subaru;Impreza 2.0 16V 160cv Mec.;ERRO
Toyota;Hilux SW4 SRV 4x4 4.0 V6 24V Aut.;ERRO
Toyota;Hilux SW4 SRX 4x4 2.8 TDI 16V Dies. Aut.;ERRO
Toyota;Land Cruiser 4WD 4.5 24V;ERRO
Toyota;RAV4 2.0 4x2 16V Aut.;ERRO
Toyota;RAV4 2.0 4x4 16V Mec.;ERRO
Toyota;RAV4 2.0 TOP 4x2 16V Aut.;ERRO
Toyota;RAV4 2.5 S 4x4 Hybrid Aut.;ERRO
Toyota;RAV4 2.5 SX 4x4 Hybrid Aut.;ERRO
Toyota;YARIS XL Plus Con. Sed. 1.5 Flex 16V Aut;ERRO
Toyota;YARIS XL Sedan 1.5 Flex 16V 4p Mec.;ERRO
Toyota;YARIS XLS Sedan 1.5 Flex 16V 4p Aut.;ERRO
Renault;Twingo Pack 1.0 8V;ERRO
Renault;ZOE Ultimate 92cv (Elétrico);ERRO
Renault;LOGAN Avantage Hi-Flex 1.0 16V 4p;ERRO
Renault;LOGAN Expres. P.Avant. Hi-Flex 1.6 8V 4p;ERRO
Renault;SANDERO Expres. P.Avant. Hi.P. 1.6 8V 5p;ERRO
Renault;SYMBOL CONNECTION Hi-Flex 1.6 8V 4p;ERRO
Renault;ZOE Intense 92cv (Elétrico);ERRO
Renault;Clio Sedan Authentique 1.6 16V 110cv 4p;ERRO
Renault;DUSTER OUTDOOR 1.6 Hi-Flex 16V Mec.;ERRO
Renault;LOGAN Authentique Plus Hi-F. 1.0 16V 4p;ERRO
Renault;SANDERO Auth. Plus Hi-Power 1.0 16V 5p;ERRO
Toyota;YARIS X-WAY 1.5 Flex 16V 5p Aut.;ERRO
Toyota;Camry SW LE 2.2 16V;ERRO
Peugeot;Expert Business 1.6 Turbo Diesel;ERRO
Peugeot;Expert Business Pack 1.6 Turbo Diesel;ERRO
Peugeot;Expert VITRÉ 1.6 Turbo Diesel;ERRO
Renault;SANDERO GT line Hi-Flex 1.6 16V 4p;ERRO
Subaru;Impreza GL 1.6/1.8 16V;ERRO
Subaru;Impreza GL 2.0 4x2 Aut.;ERRO
Subaru;Impreza GL 2.0 4x2 Mec.;ERRO
Subaru;Impreza GL 2.0 4x4 Aut.;ERRO
Subaru;Impreza GL 2.0 4x4 Mec.;ERRO
Subaru;Impreza GL 4x4 1.8 16V;ERRO
Subaru;Impreza SD 2.0/2.0i-S AWD Aut.;ERRO
Subaru;Impreza SD GX 2.0 16v 4x4 4p Aut.;ERRO
VW - VolksWagen;Parati 1.0 Mi Summer 16v 4p;ERRO
Nissan;LIVINA SL 1.8 16V Flex Fuel Aut.;ERRO
Nissan;MARCH S 1.6 16V Flex Fuel 5p;ERRO
Nissan;MARCH SV 1.0 12V Flex 5p;ERRO
Nissan;MARCH SV 1.6 16V FlexStart 5p Aut.;ERRO
Nissan;Maxima 30GV  Limited 3.0 V6 24V;ERRO
Rolls-Royce;Ghost 6.6 V12 Aut.;ERRO
Rolls-Royce;Ghost ll 6.6 V12 Aut.;ERRO
VW - VolksWagen;Parati 1.6 Mi/ 1.6 Mi City;ERRO
VW - VolksWagen;Passat Highline 2.0 TSI 220cv Tip.;ERRO
VW - VolksWagen;Passat Variant Turbo 2.0 FSI Tiptron. 5p;ERRO
VW - VolksWagen;Polo 1.6 MSI Flex 16V 5p;ERRO
VW - VolksWagen;Santana CLi /CL /C 1.8/2.0 /SU 2.0 2p/4p;ERRO
VW - VolksWagen;Saveiro 1.6 Mi/ 1.6 Mi Total Flex 8V;ERRO
VW - VolksWagen;Saveiro CROSSOVER 1.8 Mi 8V;ERRO
VW - VolksWagen;Saveiro FUN 1.8 99cv/ City e S.Surf  1.6;ERRO
VW - VolksWagen;Saveiro Pepper 1.6 Flex 8V CD;ERRO
VW - VolksWagen;Saveiro Pepper 1.6 Flex 8V CE;ERRO
VW - VolksWagen;Saveiro Super Surf 1.8 Mi Total Flex 8V;ERRO
VW - VolksWagen;Saveiro SURF 1.8 Mi Total Flex 2p;ERRO
VW - VolksWagen;SpaceCross I MOTION 1.6 Mi Total Flex 8V;ERRO
VW - VolksWagen;TIGUAN Allspac Comf 250 TSI 1.4 Flex;ERRO
VW - VolksWagen;up! cross 1.0 TSI Total Flex 12V 5p;ERRO
VW - VolksWagen;up! high 1.0 Total Flex 12V 5p;ERRO
VW - VolksWagen;up! high I MOTION 1.0 T. Flex 12V 5p;ERRO
VW - VolksWagen;up! move 1.0 T. Flex 12V 3p;ERRO
VW - VolksWagen;up! move 1.0 TSI Total Flex 12V 5p;ERRO
VW - VolksWagen;up! move I MOTION 1.0 T. Flex 12V 3p;ERRO
VW - VolksWagen;up! SPEED 1.0 TSI T. Flex 12V 5p;ERRO
VW - VolksWagen;Van 1.6 Mi (furgão);ERRO
VW - VolksWagen;VIRTUS 1.6 MSI Flex 16V 4p Aut.;ERRO
VW - VolksWagen;VIRTUS Comfort. 200 TSI 1.0 Flex 12V Aut;ERRO
