MARCA;MODELO;ANO
Fiat;500 ABARTH MULTIAIR 1.4 TB 16V 3p;2015 Gasolina
Fiat;500 ABARTH MULTIAIR 1.4 TB 16V 3p;2014 Gasolina
Fiat;Bravo WOLVERINE 1.8 Flex 16V 5p;2014 Gasolina
Fiat;Bravo WOLVERINE 1.8 Dualogic Flex 16V 5p;2014 Gasolina
Fiat;Cinquecento 0.7;1995 Gasolina
Fiat;500 SPORT 1.4 16V 100cv  Dualogic;2010 Gasolina
Fiat;500 LOUNGE 1.4 16V 100cv  Mec.;2010 Gasolina
Fiat;Doblo Adv.Ext./Adv.Ext.Loc. 1.8 16V Flex;2016 Gasolina
Fiat;147 C/ CL;1987 Gasolina
Fiat;147 C/ CL;1986 Gasolina
Fiat;147 C/ CL;1985 Gasolina
Fiat;Bravo T-JET 1.4 16V Turbo 5p;2016 Gasolina
Fiat;Bravo T-JET 1.4 16V Turbo 5p;2015 Gasolina
Fiat;Bravo T-JET 1.4 16V Turbo 5p;2014 Gasolina
Fiat;Bravo T-JET 1.4 16V Turbo 5p;2013 Gasolina
Fiat;Bravo T-JET 1.4 16V Turbo 5p;2012 Gasolina
Fiat;Bravo T-JET 1.4 16V Turbo 5p;2011 Gasolina
Fiat;147 Furgão (todos);1987 Gasolina
Fiat;147 Furgão (todos);1986 Gasolina
Fiat;147 Furgão (todos);1985 Gasolina
Fiat;147 Pick-Up (todas);1988 Gasolina
Fiat;147 Pick-Up (todas);1987 Gasolina
Fiat;147 Pick-Up (todas);1986 Gasolina
Fiat;147 Pick-Up (todas);1985 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Dualogic;2015 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Dualogic;2014 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Dualogic;2013 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Dualogic;2012 Gasolina
Fiat;500 Cabrio Flex 1.4 8V Mec.;2015 Gasolina
Fiat;500 Cabrio Flex 1.4 8V Mec.;2014 Gasolina
Fiat;ARGO DRIVE GSR 1.3 8V Flex;32000 Gasolina
Fiat;ARGO DRIVE GSR 1.3 8V Flex;2020 Gasolina
Fiat;ARGO DRIVE GSR 1.3 8V Flex;2019 Gasolina
Fiat;ARGO DRIVE GSR 1.3 8V Flex;2018 Gasolina
Fiat;500 Sport Air 1.4 16V/1.4 Flex Mec.;2014 Gasolina
Fiat;500 Sport Air 1.4 16V/1.4 Flex Mec.;2013 Gasolina
Fiat;500 Sport Air 1.4 16V/1.4 Flex Mec.;2012 Gasolina
Fiat;CRONOS 1.8 16V Flex Aut. (PCD);32000 Gasolina
Fiat;CRONOS 1.8 16V Flex Aut. (PCD);2020 Gasolina
Fiat;Coupe 16V;1997 Gasolina
Fiat;Coupe 16V;1996 Gasolina
Fiat;Coupe 16V;1995 Gasolina
Fiat;ARGO HGT 1.8 16V Flex Mec.;2019 Gasolina
Fiat;ARGO HGT 1.8 16V Flex Mec.;2018 Gasolina
Fiat;ARGO 1.0 6V Flex.;32000 Gasolina
Fiat;ARGO 1.0 6V Flex.;2021 Gasolina
Fiat;ARGO 1.0 6V Flex.;2020 Gasolina
Fiat;ARGO 1.0 6V Flex.;2019 Gasolina
Fiat;ARGO 1.0 6V Flex.;2018 Gasolina
Fiat;500 SPORT 1.4 16V 100cv Mec.;2010 Gasolina
Fiat;500 SPORT 1.4 16V 100cv Mec.;2009 Gasolina
Fiat;500 SPORT 1.4 16V 100cv Mec.;2008 Gasolina
Fiat;500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.;2015 Gasolina
Fiat;500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.;2014 Gasolina
Fiat;500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.;2013 Gasolina
Fiat;500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.;2012 Gasolina
Fiat;500 Cabrio Dualogic Flex 1.4 8V;2017 Gasolina
Fiat;500 Cabrio Dualogic Flex 1.4 8V;2015 Gasolina
Fiat;500 Cabrio Dualogic Flex 1.4 8V;2014 Gasolina
Fiat;500 LOUNGE 1.4 16V 100cv Dualogic;2012 Gasolina
Fiat;500 LOUNGE 1.4 16V 100cv Dualogic;2010 Gasolina
Fiat;ARGO DRIVE 1.0 6V Flex;32000 Gasolina
Fiat;ARGO DRIVE 1.0 6V Flex;2021 Gasolina
Fiat;ARGO DRIVE 1.0 6V Flex;2020 Gasolina
Fiat;ARGO DRIVE 1.0 6V Flex;2019 Gasolina
Fiat;ARGO DRIVE 1.0 6V Flex;2018 Gasolina
Fiat;Bravo BlackMotion 1.8 Flex 16v 5p;2016 Gasolina
Fiat;Bravo BlackMotion 1.8 Flex 16v 5p;2015 Gasolina
Fiat;Brava ELX  1.6 16V 4p;2003 Gasolina
Fiat;Brava ELX  1.6 16V 4p;2002 Gasolina
Fiat;Brava ELX  1.6 16V 4p;2001 Gasolina
Fiat;Brava ELX  1.6 16V 4p;2000 Gasolina
Fiat;ARGO TREKKING 1.3 8V Flex;32000 Gasolina
Fiat;ARGO TREKKING 1.3 8V Flex;2021 Gasolina
Fiat;ARGO TREKKING 1.3 8V Flex;2020 Gasolina
Fiat;ARGO PRECISION 1.8 16V Flex Aut.;32000 Gasolina
Fiat;ARGO PRECISION 1.8 16V Flex Aut.;2020 Gasolina
Fiat;ARGO PRECISION 1.8 16V Flex Aut.;2019 Gasolina
Fiat;ARGO PRECISION 1.8 16V Flex Aut.;2018 Gasolina
Fiat;ARGO TREKKING 1.8 16V Flex Aut.;32000 Gasolina
Fiat;ARGO TREKKING 1.8 16V Flex Aut.;2021 Gasolina
Fiat;ARGO TREKKING 1.8 16V Flex Aut.;2020 Gasolina
Fiat;Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p;2014 Gasolina
Fiat;Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p;2013 Gasolina
Fiat;Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p;2012 Gasolina
Fiat;Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p;2011 Gasolina
Fiat;Bravo SPORTING 1.8 Dualogic Flex 16V 5p;2016 Gasolina
Fiat;Bravo SPORTING 1.8 Dualogic Flex 16V 5p;2015 Gasolina
Fiat;Bravo SPORTING 1.8 Dualogic Flex 16V 5p;2014 Gasolina
Fiat;Bravo SPORTING 1.8 Dualogic Flex 16V 5p;2013 Gasolina
Fiat;Brava SX 1.6 16V 4p;2003 Gasolina
Fiat;Brava SX 1.6 16V 4p;2002 Gasolina
Fiat;Brava SX 1.6 16V 4p;2001 Gasolina
Fiat;Brava SX 1.6 16V 4p;2000 Gasolina
Fiat;ARGO PRECISION 1.8 16V Flex Mec.;2019 Gasolina
Fiat;ARGO PRECISION 1.8 16V Flex Mec.;2018 Gasolina
Fiat;ARGO HGT 1.8 16V Flex Aut.;32000 Gasolina
Fiat;ARGO HGT 1.8 16V Flex Aut.;2021 Gasolina
Fiat;ARGO HGT 1.8 16V Flex Aut.;2020 Gasolina
Fiat;ARGO HGT 1.8 16V Flex Aut.;2019 Gasolina
Fiat;ARGO HGT 1.8 16V Flex Aut.;2018 Gasolina
Fiat;Brava HGT 1.8 mpi 16V  4p;2003 Gasolina
Fiat;Brava HGT 1.8 mpi 16V  4p;2002 Gasolina
Fiat;Brava HGT 1.8 mpi 16V  4p;2001 Gasolina
Fiat;Brava HGT 1.8 mpi 16V  4p;2000 Gasolina
Fiat;Bravo BlackMotion 1.8 Dualogic Flex 5p;2016 Gasolina
Fiat;Bravo BlackMotion 1.8 Dualogic Flex 5p;2015 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Mec.;2017 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Mec.;2015 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Mec.;2014 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Mec.;2013 Gasolina
Fiat;500 Cult 1.4 Flex 8V EVO Mec.;2012 Gasolina
Fiat;ARGO DRIVE 1.3 8V Flex;32000 Gasolina
Fiat;ARGO DRIVE 1.3 8V Flex;2021 Gasolina
Fiat;ARGO DRIVE 1.3 8V Flex;2020 Gasolina
Fiat;ARGO DRIVE 1.3 8V Flex;2019 Gasolina
Fiat;ARGO DRIVE 1.3 8V Flex;2018 Gasolina
Fiat;Bravo SX 1.6;1999 Gasolina
Fiat;Bravo SX 1.6;1998 Gasolina
Fiat;Bravo ESSENCE 1.8 Flex 16V 5p;2016 Gasolina
Fiat;Bravo ESSENCE 1.8 Flex 16V 5p;2015 Gasolina
Fiat;Bravo ESSENCE 1.8 Flex 16V 5p;2014 Gasolina
Fiat;Bravo ESSENCE 1.8 Flex 16V 5p;2013 Gasolina
Fiat;Bravo ESSENCE 1.8 Flex 16V 5p;2012 Gasolina
Fiat;Bravo ESSENCE 1.8 Flex 16V 5p;2011 Gasolina
Fiat;Bravo ABSOLUTE 1.8 Flex 16V 5p;2012 Gasolina
Fiat;Bravo ABSOLUTE 1.8 Flex 16V 5p;2011 Gasolina
Fiat;Bravo ESSENCE Dualogic 1.8 Flex 16V 5p;2016 Gasolina
Fiat;Bravo ESSENCE Dualogic 1.8 Flex 16V 5p;2015 Gasolina
Fiat;Bravo ESSENCE Dualogic 1.8 Flex 16V 5p;2014 Gasolina
Fiat;Bravo ESSENCE Dualogic 1.8 Flex 16V 5p;2013 Gasolina
Fiat;Bravo ESSENCE Dualogic 1.8 Flex 16V 5p;2012 Gasolina
Fiat;Bravo ESSENCE Dualogic 1.8 Flex 16V 5p;2011 Gasolina
Fiat;Bravo SPORTING 1.8 Flex 16V 5p;2016 Gasolina
Fiat;Bravo SPORTING 1.8 Flex 16V 5p;2015 Gasolina
Fiat;Bravo SPORTING 1.8 Flex 16V 5p;2014 Gasolina
Fiat;Bravo SPORTING 1.8 Flex 16V 5p;2013 Gasolina
Fiat;500 Lounge Air 1.4/ 1.4 Flex 16V Aut.;2014 Gasolina
Fiat;500 Lounge Air 1.4/ 1.4 Flex 16V Aut.;2013 Gasolina
Fiat;500 Lounge Air 1.4/ 1.4 Flex 16V Aut.;2012 Gasolina
Fiat;CRONOS 1.3 8V Flex;32000 Gasolina
Fiat;CRONOS 1.3 8V Flex;2021 Gasolina
Fiat;CRONOS 1.3 8V Flex;2020 Gasolina
Fiat;CRONOS 1.3 8V Flex;2019 Gasolina
Fiat;CRONOS DRIVE 1.8 16V Flex Aut.;32000 Gasolina
Fiat;CRONOS DRIVE 1.8 16V Flex Aut.;2021 Gasolina
Fiat;CRONOS DRIVE 1.8 16V Flex Aut.;2020 Gasolina
Fiat;CRONOS DRIVE 1.8 16V Flex Aut.;2019 Gasolina
Fiat;CRONOS DRIVE GSR 1.3 8V Flex;32000 Gasolina
Fiat;CRONOS DRIVE GSR 1.3 8V Flex;2020 Gasolina
Fiat;CRONOS DRIVE GSR 1.3 8V Flex;2019 Gasolina
Fiat;CRONOS DRIVE GSR 1.3 8V Flex;2018 Gasolina
Fiat;CRONOS HGT 1.8 16V Flex Aut.;32000 Gasolina
Fiat;CRONOS HGT 1.8 16V Flex Aut.;2021 Gasolina
Fiat;CRONOS HGT 1.8 16V Flex Aut.;2020 Gasolina
Fiat;Doblo  1.4 mpi Fire Flex  8V 4p;2011 Gasolina
Fiat;Doblo  1.4 mpi Fire Flex  8V 4p;2010 Gasolina
Fiat;CRONOS PRECISION 1.8 16V Flex Mec.;2019 Gasolina
Fiat;CRONOS PRECISION 1.8 16V Flex Mec.;2018 Gasolina
Fiat;CRONOS PRECISION 1.8 16V Flex Aut.;32000 Gasolina
Fiat;CRONOS PRECISION 1.8 16V Flex Aut.;2021 Gasolina
Fiat;CRONOS PRECISION 1.8 16V Flex Aut.;2020 Gasolina
Fiat;CRONOS PRECISION 1.8 16V Flex Aut.;2019 Gasolina
Fiat;CRONOS PRECISION 1.8 16V Flex Aut.;2018 Gasolina
Fiat;Doblo  Cargo 1.4 mpi Fire Flex 8V 3p;2016 Gasolina
Fiat;Doblo  Cargo 1.4 mpi Fire Flex 8V 3p;2015 Gasolina
Fiat;Doblo  Cargo 1.4 mpi Fire Flex 8V 3p;2014 Gasolina
Fiat;Doblo  Cargo 1.4 mpi Fire Flex 8V 3p;2013 Gasolina
Fiat;Doblo  Cargo 1.4 mpi Fire Flex 8V 3p;2012 Gasolina
Fiat;Doblo  Cargo 1.4 mpi Fire Flex 8V 3p;2011 Gasolina
Fiat;Doblo  Cargo 1.4 mpi Fire Flex 8V 3p;2010 Gasolina
Fiat;Doblo Adv. XINGU 1.8 Flex 16V 5p;2014 Gasolina
Fiat;Doblo Adv. XINGU 1.8 Flex 16V 5p;2013 Gasolina
Fiat;Doblo Adv. XINGU LOCKER 1.8 Flex 16V 5p;2014 Gasolina
Fiat;Doblo Adv. XINGU LOCKER 1.8 Flex 16V 5p;2013 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2020 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2019 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2018 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2017 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2016 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2015 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2014 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2013 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2012 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2011 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2010 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2009 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2008 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2007 Gasolina
Fiat;Doblo Adv/Adv TRYON/LOCKER 1.8 Flex;2006 Gasolina
Fiat;500 Sport Air 1.4 16V/1.4 Flex 16V Aut.;2015 Gasolina
Fiat;500 Sport Air 1.4 16V/1.4 Flex 16V Aut.;2014 Gasolina
Fiat;500 Sport Air 1.4 16V/1.4 Flex 16V Aut.;2013 Gasolina
Fiat;500 Sport Air 1.4 16V/1.4 Flex 16V Aut.;2012 Gasolina
Fiat;Tempra Ouro/Prata 2.0 2p e 4p;ERRO
Fiat;Tempra Ouro 16V 2p e 4p;ERRO
Fiat;Tempra HLX 2.0 16V 4p;ERRO
Fiat;Tempra 8V/ City 8V;ERRO
Fiat;Tempra 2.0 mpi 16V;ERRO
Fiat;Tempra 2.0 i.e. 8V 2p e 4p;ERRO
Fiat;Tempra 2.0 i.e 16V 2p e 4p;ERRO
Fiat;Strada/ Strada Working 1.5 mpi 8V CS;ERRO
Fiat;Strada/ Strada Working 1.5 mpi 8V CE;ERRO
Fiat;Strada Working Plus 1.4 8V Flex CS;ERRO
Fiat;Strada Working HARD 1.4 Fire Flex 8V CS;ERRO
Fiat;Strada Working HARD 1.4 Fire Flex 8V CE;ERRO
Fiat;Strada Working HARD 1.4 Fire Flex 8V CD;ERRO
Fiat;Strada Working Celeb.1.4 Fire Flex 8V CS;ERRO
Fiat;Strada Working Celeb.1.4 Fire Flex 8V CE;ERRO
Fiat;Strada Working Celeb.1.4 Fire Flex 8V CD;ERRO
Fiat;Strada Working 1.8 mpi 8V 103cv CS;ERRO
Fiat;Strada Working 1.8 mpi 8v 103cv CE;ERRO
Fiat;Strada Working 1.6 mpi 16V CS;ERRO
Fiat;Strada Working 1.6 mpi 16V CE;ERRO
Fiat;Strada Working 1.4 mpi Fire Flex 8V CE;ERRO
Fiat;Strada Working 1.4 mpi Fire Flex 8V CS;ERRO
Fiat;Strada Working 1.4 mpi Fire Flex 8V CD;ERRO
Fiat;Strada Volcano 1.3 Flex 8V CD;ERRO
Fiat;Strada Trekking 1.8 mpi Flex 8V CS;ERRO
Fiat;Strada Trekking 1.8 mpi Flex 8V CE;ERRO
Fiat;Strada Trekking 1.6 mpi;ERRO
Fiat;Strada Trekking 1.6 16V LOCKER Flex  CD;ERRO
Fiat;Strada Trekking 1.6 16V Flex CS;ERRO
Fiat;Strada Trekking 1.6 16V Flex CE;ERRO
Fiat;Strada Trekking 1.6 16V Flex CD;ERRO
Fiat;Strada Trekking 1.4 mpi Fire Flex 8V CS;ERRO
Fiat;Strada Trekking 1.4 mpi Fire Flex 8V CE;ERRO
Fiat;Strada Trek. M. March. 1.6 Flex 16V CE;ERRO
Fiat;Strada Sporting 1.8 Flex 16V CE;ERRO
Fiat;Strada Opening Edition 1.3 Flex 8V CD;ERRO
Fiat;Strada LX 1.6 mpi 16V;ERRO
Fiat;Strada LX 1.6 16V CE;ERRO
Fiat;Strada Freedom 1.4 Flex 8V CS;ERRO
Fiat;Strada Freedom 1.4 Flex 8V CD;ERRO
Fiat;Strada Freedom 1.3 Flex 8V CD;ERRO
Fiat;Strada Freedom 1.3 Flex 8V  CS Plus;ERRO
Fiat;Strada Endurance 1.4 Flex 8V CS Plus;ERRO
Fiat;Strada Celeb. 1.4 mpi Fire Flex 8V CE;ERRO
Fiat;Strada Endurance 1.4 Flex 8V CD;ERRO
Fiat;Strada Celeb. 1.4 mpi Fire Flex 8V CS;ERRO
Fiat;Strada Adventure1.8/ 1.8 LOCKER Flex CD;ERRO
Fiat;Strada Adventure Ext. 1.8  Dual. Flex CD;ERRO
Fiat;Strada Adventure 1.8/ 1.8 LOCKER Flex CE;ERRO
Fiat;Strada Adventure 1.8 mpi 8V 103cv CE;ERRO
Fiat;Strada Adventure 1.6 mpi 16V CE;ERRO
Fiat;Strada Adv/Adv TRYON 1.8 mpi Flex 8V CE;ERRO
Fiat;Strada Adv.Ext./ Ext. 1.8 LOCKER Flex CD;ERRO
Fiat;Strada Adv.Ext. 1.8 LOCKER Dual. Flex CD;ERRO
Fiat;Strada Adv.1.8 16V LOCKER Dualo. Flex CD;ERRO
Fiat;Strada Adv.1.8 16V Dualogic Flex CE;ERRO
Fiat;Strada Adv.1.8 16V Dualogic Flex CD;ERRO
Fiat;Strada Adv.1.8 16V  LOCKER Dual. Flex CE;ERRO
Fiat;Strada Adv. M. March.1.8 Dual. Flex CD;ERRO
Fiat;Strada Adv. Extreme 1.8 Dual. Flex CE;ERRO
Fiat;Strada Adv. M. March. 1.8 Flex 16V CD;ERRO
Fiat;Strada Adv. Ext./ Ext.1.8 LOCKER Flex CE;ERRO
Fiat;Strada Adv. Ext. 1.8 LOCKER Dual.Flex CE;ERRO
Fiat;Strada 1.4 mpi Fire Flex 8V CS;ERRO
Fiat;Strada 1.4 mpi Fire Flex 8V CE;ERRO
Fiat;Strada 1.3 mpi Fire 8V 67cv CS;ERRO
Fiat;Strada 1.3 mpi Fire 8V 67cv CE;ERRO
Fiat;Stilo Duologic 1.8 ATTRACTIVE Flex 8V 5p;ERRO
Fiat;Stilo Dualogic 1.8 Sporting Flex 8V 5p;ERRO
Fiat;Stilo Dualogic 1.8 SP Flex 8V 5p;ERRO
Fiat;Stilo Dualogic 1.8 Flex 8V 5p;ERRO
Fiat;Stilo Dualogic 1.8 BlackMotion Flex 8V;ERRO
Fiat;Stilo 2.4 Abarth 20V 167cv 5p;ERRO
Fiat;Stilo 1.8/ 1.8 SP/ Connect 16V 122cv 5p;ERRO
Fiat;Stilo 1.8/ 1.8 Connect Flex 8V 5p;ERRO
Fiat;Stilo 1.8/ 1.8 Connect 8V 103cv 5p;ERRO
Fiat;Stilo 1.8 Sporting Flex 8V 5P;ERRO
Fiat;Stilo 1.8 SP Flex 8V 5p;ERRO
Fiat;Stilo 1.8 MS Lim.Edit./ MS Season 16V;ERRO
Fiat;Stilo 1.8 ATTRACTIVE Flex 8V 5p;ERRO
Fiat;Siena TETRAFUEL 1.4 mpi Fire Flex 8v 4p;ERRO
Fiat;Siena Stile/Sport MTV 1.6 mpi 16V;ERRO
Fiat;Siena Sporting Dualogic 1.6 Flex 16V 4p;ERRO
Fiat;Siena Sporting 1.6 Flex 16V 4p;ERRO
Fiat;Siena HLX Dualogic 1.8 mpi Flex 8V 4p;ERRO
Fiat;Siena HLX 1.8 mpi Flex 8V 4p;ERRO
Fiat;Siena HL 1.6 mpi 16V;ERRO
Fiat;Siena EX 1.8 mpi 8V 103cv 4p;ERRO
Fiat;Siena EX 1.3 mpi Fire 8V 67cv 4p;ERRO
Fiat;Siena EX 1.0 mpi Fire 16v 4p;ERRO
Fiat;Siena ESSENCE Dualogic 1.6 Flex 16V 4p;ERRO
Fiat;Siena ESSENCE 1.6 Flex 16V 4p;ERRO
Fiat;Siena ELX 1.8 mpi 8V 103cv 4p;ERRO
Fiat;Siena ELX 1.6 mpi 8V/16V 4p;ERRO
Fiat;Siena ELX 1.5 mpi 4p;ERRO
Fiat;Siena ELX 1.4 mpi Fire Flex 8V 4p;ERRO
Fiat;Siena ELX 1.3 mpi Flex 8V 4p;ERRO
Fiat;Siena ELX 1.3 mpi Fire 16V 4p;ERRO
Fiat;Siena ELX 1.0 mpi Fire/Fire Flex 8V 4p;ERRO
Fiat;Siena ELX 1.0 mpi Fire 16v 4p (25 anos);ERRO
Fiat;Siena EL Celeb. 1.4 mpi Fire Flex 8V 4p;ERRO
Fiat;Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p;ERRO
Fiat;Siena EL 1.6 spi;ERRO
Fiat;Siena EL 1.6 mpi 16V;ERRO
Fiat;Siena EL 1.4 mpi Fire Flex 8V 4p;ERRO
Fiat;Siena EL 1.0 mpi Fire Flex 8V 4p;ERRO
Fiat;Siena City 4p;ERRO
Fiat;Siena Celebration 1.0 Fire Flex 8V 4p;ERRO
Fiat;Siena ATTRACTIVE 1.4 Fire Flex 8V 4p;ERRO
Fiat;Siena ATTRACTIVE 1.0 Fire Flex 8V 4p;ERRO
Fiat;Siena 1.5 mpi 8V 4p;ERRO
Fiat;Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v;ERRO
Fiat;Siena 1.0 mpi/ 500 1.0 mpi;ERRO
Fiat;Punto T-JET 1.4 16V Turbo 5p;ERRO
Fiat;Punto Sporting Dualogic 1.8 Flex 16V 5p;ERRO
Fiat;Punto SX;ERRO
Fiat;Punto Sporting 1.8 Flex 8V/16V 5p;ERRO
Fiat;Punto S;ERRO
Fiat;Punto HLX 1.8 Flex 8V 5p;ERRO
Fiat;Punto ESSENCE SP Dualogic 1.6 Flex 16V;ERRO
Fiat;Punto ESSENCE SP 1.6 Flex 16V 5p;ERRO
Fiat;Punto ESSENCE Dualogic 1.8 Flex 16V 5p;ERRO
Fiat;Punto ESSENCE Dualogic 1.6 Flex 16V 5p;ERRO
Fiat;Punto ESSENCE 1.8 Flex 16V 5p;ERRO
Fiat;Punto ESSENCE 1.6 Flex 16V 5p;ERRO
Fiat;Punto EL/ELX;ERRO
Fiat;Punto Cabrio;ERRO
Fiat;Punto BLACKMOTION Dual. 1.8 Flex 16v 5p;ERRO
Fiat;Punto BLACKMOTION 1.8 Flex 16V 5p.;ERRO
Fiat;Punto ATTRACTIVE ITALIA 1.4 F.Flex 8V 5p;ERRO
Fiat;Punto ATTRACTIVE 1.4 Fire Flex 8V 5p;ERRO
Fiat;Punto 1.4 Fire Flex 8V 5p;ERRO
Fiat;Punto  ELX 1.4 Fire Flex 8V 5p;ERRO
Fiat;Premio S 1.5 i.e./ 1.5 / 1.3;ERRO
Fiat;Premio CSL 1.6/ 1.5;ERRO
Fiat;Premio CSL 1.6 i.e./ 1.5 4p;ERRO
Fiat;Premio CS 1.6/ 1.5/ 1.3 2p;ERRO
Fiat;Premio CS 1.5 i.e. 2p/ SL 1.6/1.5/1.3 4p;ERRO
Fiat;Panorama C/CL;ERRO
Fiat;Palio Young 1.0 mpi Fire 8V 4p;ERRO
Fiat;Palio Young 1.0 mpi Fire 8V 2p;ERRO
Fiat;Palio Young 1.0 mpi 8v 4p;ERRO
Fiat;Palio Young 1.0 mpi 8v 2p;ERRO
Fiat;Palio Weekend Trekking 1.8 mpi Flex 8V;ERRO
Fiat;Palio Weekend Trekking 1.6 Flex 16V 5p;ERRO
Fiat;Palio Weekend Trekking 1.4 Fire Flex 8V;ERRO
Fiat;Palio Weekend Stile 1.8 mpi 8V 103cv 4p;ERRO
Fiat;Palio Weekend Stile 1.6 mpi 16V 4p;ERRO
Fiat;Palio Weekend Sport 1.6 mpi 16V 4p;ERRO
Fiat;Palio Weekend HLX 1.8 mpi Flex 4p;ERRO
Fiat;Palio Weekend EX 1.8 mpi 8V 103cv 4p;ERRO
Fiat;Palio Weekend EX 1.5 mpi;ERRO
Fiat;Palio Weekend EX 1.3 mpi Fire 8V 67cv 4p;ERRO
