MARCA;MODELO;ANO
Honda;Accord Coupe EX;1998 Gasolina
Honda;Accord Coupe EX;1997 Gasolina
Honda;Accord Coupe EX;1996 Gasolina
Honda;Accord Coupe EX;1995 Gasolina
Honda;Accord Coupe EX;1994 Gasolina
Honda;Accord Coupe EX;1993 Gasolina
Honda;Accord Coupe EX;1992 Gasolina
Honda;Accord Coupe EX;1991 Gasolina
Honda;Civic Sed LX 1.8 Aut 4p;2007 Gasolina
Honda;CITY Sedan SPORT 1.5 FLEX 16V 4p Mec.;2014 Gasolina
Honda;Civic Sedan LXB 1.7 16V 115cv;2001 Gasolina
Honda;Civic Hatch LX Aut.;1996 Gasolina
Honda;Civic Hatch LX Aut.;1995 Gasolina
Honda;Civic Hatch LX Aut.;1994 Gasolina
Honda;Civic Hatch LX Aut.;1993 Gasolina
Honda;Civic Hatch LX Aut.;1992 Gasolina
Honda;Civic Sed. LXL/ LXL SE 1.8 Flex 16V Aut.;2013 Gasolina
Honda;Civic Sed. LXL/ LXL SE 1.8 Flex 16V Aut.;2012 Gasolina
Honda;Civic Sed. LXL/ LXL SE 1.8 Flex 16V Aut.;2011 Gasolina
Honda;Civic Sed. LXL/ LXL SE 1.8 Flex 16V Aut.;2010 Gasolina
Honda;Civic Sedan EX 1.6 16V Aut. 4p (nacion.);2000 Gasolina
Honda;Civic Sedan EX 1.6 16V Aut. 4p (nacion.);1999 Gasolina
Honda;Civic Sedan EX 1.6 16V Aut. 4p (nacion.);1998 Gasolina
Honda;Civic Sedan EX 1.6 16V Aut. 4p (nacion.);1997 Gasolina
Honda;Civic Sedan EX 1.6 16V Mec. 4p (nacion.);2000 Gasolina
Honda;Civic Sedan EX 1.6 16V Mec. 4p (nacion.);1999 Gasolina
Honda;Civic Sedan EX 1.6 16V Mec. 4p (nacion.);1998 Gasolina
Honda;Civic Sedan EX 1.6 16V Mec. 4p (nacion.);1997 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2014 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2013 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2005 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2004 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2003 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2002 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2001 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;2000 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1999 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1998 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1997 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1996 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1995 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1994 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1993 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1992 Gasolina
Honda;Accord Sedan EX 2.4/2.3/ 2.2 16V;1991 Gasolina
Honda;Civic Sedan EX 1.7 16v 130cv Mec. 4p;2003 Gasolina
Honda;Civic Sedan EX 1.7 16v 130cv Mec. 4p;2002 Gasolina
Honda;Civic Sedan EX 1.7 16v 130cv Mec. 4p;2001 Gasolina
Honda;Civic Sedan EX 1.7 16V 130cv Aut. 4p;2006 Gasolina
Honda;Civic Sedan EX 1.7 16V 130cv Aut. 4p;2005 Gasolina
Honda;Civic Sedan EX 1.7 16V 130cv Aut. 4p;2004 Gasolina
Honda;Civic Sedan EX 1.7 16V 130cv Aut. 4p;2003 Gasolina
Honda;Civic Sedan EX 1.7 16V 130cv Aut. 4p;2002 Gasolina
Honda;Civic Sedan EX 1.7 16V 130cv Aut. 4p;2001 Gasolina
Honda;Civic Sedan EXS 1.8/1.8 Flex 16V Aut. 4p;2013 Gasolina
Honda;Civic Sedan EXS 1.8/1.8 Flex 16V Aut. 4p;2012 Gasolina
Honda;Civic Sedan EXS 1.8/1.8 Flex 16V Aut. 4p;2011 Gasolina
Honda;Civic Sedan EXS 1.8/1.8 Flex 16V Aut. 4p;2010 Gasolina
Honda;Civic Sedan EXS 1.8/1.8 Flex 16V Aut. 4p;2009 Gasolina
Honda;Civic Sedan EXS 1.8/1.8 Flex 16V Aut. 4p;2008 Gasolina
Honda;Civic Sedan EXS 1.8/1.8 Flex 16V Aut. 4p;2007 Gasolina
Honda;Civic Sedan EXL 2.0 Flex 16V Aut.4p;32000 Gasolina
Honda;Civic Sedan EXL 2.0 Flex 16V Aut.4p;2021 Gasolina
Honda;Civic Sedan EXL 2.0 Flex 16V Aut.4p;2020 Gasolina
Honda;Civic Sedan EXL 2.0 Flex 16V Aut.4p;2019 Gasolina
Honda;Civic Sedan EXL 2.0 Flex 16V Aut.4p;2018 Gasolina
Honda;Civic Sedan EXL 2.0 Flex 16V Aut.4p;2017 Gasolina
Honda;Accord Sedan EX 2.7/3.0 24V;2007 Gasolina
Honda;Accord Sedan EX 2.7/3.0 24V;2006 Gasolina
Honda;Accord Sedan EX 2.7/3.0 24V;2005 Gasolina
Honda;Accord Sedan EX 2.7/3.0 24V;2004 Gasolina
Honda;Accord Sedan EX 2.7/3.0 24V;1996 Gasolina
Honda;Accord Sedan EX 2.7/3.0 24V;1995 Gasolina
Honda;Civic Sedan EX/ EXS Aut. 4p/ Del-Sol 2p;1997 Gasolina
Honda;Civic Sedan EX/ EXS Aut. 4p/ Del-Sol 2p;1996 Gasolina
Honda;Civic Sedan EX/ EXS Aut. 4p/ Del-Sol 2p;1995 Gasolina
Honda;Civic Sedan EX/ EXS Aut. 4p/ Del-Sol 2p;1994 Gasolina
Honda;Civic Sedan EX/ EXS Aut. 4p/ Del-Sol 2p;1993 Gasolina
Honda;Civic Sedan EX/ EXS Aut. 4p/ Del-Sol 2p;1992 Gasolina
Honda;Civic Sedan EX 2.0 Flex 16V Aut.4p;32000 Gasolina
Honda;Civic Sedan EX 2.0 Flex 16V Aut.4p;2021 Gasolina
Honda;Civic Sedan EX 2.0 Flex 16V Aut.4p;2020 Gasolina
