MARCA;MODELO;ANO
Alfa Romeo;155;1997 Gasolina
Alfa Romeo;155;1996 Gasolina
Alfa Romeo;155;1995 Gasolina
Alfa Romeo;156 TS/Sport/Elegant 2.0 16V;2002 Gasolina
Alfa Romeo;156 TS/Sport/Elegant 2.0 16V;2001 Gasolina
Alfa Romeo;156 TS/Sport/Elegant 2.0 16V;2000 Gasolina
Alfa Romeo;156 TS/Sport/Elegant 2.0 16V;1999 Gasolina
Alfa Romeo;145 Elegant 2.0 16V;1998 Gasolina
Alfa Romeo;145 Elegant 2.0 16V;1997 Gasolina
Alfa Romeo;145 Elegant 2.0 16V;1996 Gasolina
Alfa Romeo;145 Elegant 2.0 16V;1995 Gasolina
Alfa Romeo;145 Quadrifoglio 2.0;1999 Gasolina
Alfa Romeo;145 Quadrifoglio 2.0;1998 Gasolina
Alfa Romeo;145 Quadrifoglio 2.0;1997 Gasolina
Alfa Romeo;145 Quadrifoglio 2.0;1996 Gasolina
Alfa Romeo;156 Sport Wagon 2.5 V6 24V 4p Aut.;2004 Gasolina
Alfa Romeo;156 Sport Wagon 2.5 V6 24V 4p Aut.;2003 Gasolina
Alfa Romeo;156 Sport Wagon 2.0 16V;2002 Gasolina
Alfa Romeo;156 Sport Wagon 2.0 16V;2001 Gasolina
Alfa Romeo;156 2.5 V6 24V 190cv 4p Aut.;2003 Gasolina
Alfa Romeo;156 2.5 V6 24V 190cv 4p Aut.;1999 Gasolina
Alfa Romeo;155 Super;1997 Gasolina
Alfa Romeo;155 Super;1996 Gasolina
Alfa Romeo;155 Super;1995 Gasolina
Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina
Alfa Romeo;145 Elegant 1.7/1.8 16V;1998 Gasolina
Alfa Romeo;145 Elegant 1.7/1.8 16V;1997 Gasolina
Alfa Romeo;145 Elegant 1.7/1.8 16V;1996 Gasolina
ASTON MARTIN;Rapide S 6.0 V12 550cv;2016 Gasolina
ASTON MARTIN;Rapide S 6.0 V12 550cv;2014 Gasolina
Alfa Romeo;145 QV;1998 Gasolina
Alfa Romeo;145 QV;1997 Gasolina
Alfa Romeo;145 QV;1996 Gasolina
Alfa Romeo;147 2.0 16V 148cv 4p Semi-Aut.;2005 Gasolina
Alfa Romeo;147 2.0 16V 148cv 4p Semi-Aut.;2004 Gasolina
Alfa Romeo;147 2.0 16V 148cv 4p Semi-Aut.;2003 Gasolina
Audi;A3 1.8 Turbo 180cv 3p Aut./ Tip.;2003 Gasolina
Audi;A3 1.8 Turbo 180cv 3p Aut./ Tip.;2002 Gasolina
Audi;A3 1.6 8V 102cv 3p;2007 Gasolina
Asia Motors;Jipe Rocsta GT 4x4 2.2 Diesel;1995 Diesel
Asia Motors;Jipe Rocsta GT 4x4 2.2 Diesel;1994 Diesel
ASTON MARTIN;Rapide 6.0 V12 477cv;2012 Gasolina
ASTON MARTIN;Rapide 6.0 V12 477cv;2011 Gasolina
Asia Motors;Hi-Topic Van 2.7 Diesel (furgão);1997 Diesel
Asia Motors;Hi-Topic Van 2.7 Diesel (furgão);1996 Diesel
Asia Motors;Hi-Topic Van 2.7 Diesel (furgão);1995 Diesel
Asia Motors;Hi-Topic Van 2.7 Diesel (furgão);1994 Diesel
Audi;A4 1.8 Avant Aut.;2001 Gasolina
Audi;A4 1.8 Avant Aut.;2000 Gasolina
Audi;A4 1.8 Avant Aut.;1999 Gasolina
Audi;A4 1.8 Avant Aut.;1997 Gasolina
Audi;A4 1.8 Avant Aut.;1996 Gasolina
Audi;A3 Cabriolet 1.8 16V TFSI 180cv S-tronic;2016 Gasolina
Audi;A3 Cabriolet 1.8 16V TFSI 180cv S-tronic;2015 Gasolina
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2015 Diesel
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2014 Diesel
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2013 Diesel
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2012 Diesel
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2011 Diesel
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2010 Diesel
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2009 Diesel
Agrale;MARRUÁ AM 150 2.8 CD TDI Diesel;2008 Diesel
Asia Motors;Hi-Topic SLX/SDX/DLX Full Diesel;1998 Diesel
Asia Motors;Hi-Topic SLX/SDX/DLX Full Diesel;1997 Diesel
Asia Motors;Hi-Topic SLX/SDX/DLX Full Diesel;1996 Diesel
Asia Motors;Hi-Topic SLX/SDX/DLX Full Diesel;1995 Diesel
Asia Motors;Hi-Topic SLX/SDX/DLX Full Diesel;1994 Diesel
Asia Motors;Hi-Topic SLX/SDX/DLX Full Diesel;1993 Diesel
Acura;Legend 3.2/3.5;1998 Gasolina
Acura;Legend 3.2/3.5;1997 Gasolina
Acura;Legend 3.2/3.5;1996 Gasolina
Acura;Legend 3.2/3.5;1995 Gasolina
